iter	Passed	Remaining
817	51920	11551
818	51975	11486
819	52041	11423
820	52107	11360
821	52172	11297
822	52226	11232
823	52293	11169
824	52357	11106
825	52426	11043
826	52491	10980
827	52556	10917
828	52619	10854
829	52684	10790
830	52738	10725
831	52805	10662
832	52873	10600
833	52933	10536
834	52988	10470
835	53055	10408
836	53128	10346
837	53188	10282
838	53245	10217
839	53311	10154
840	53374	10091
841	53430	10026
842	53495	9963
843	53564	9900
844	53625	9836
845	53688	9773
846	53743	9708
847	53798	9643
848	53861	9579
849	53930	9517
850	54001	9455
851	54068	9392
852	54124	9327
853	54186	9263
854	54247	9199
855	54300	9134
856	54368	9071
857	54439	9009
858	54498	8945
859	54559	8881
860	54608	8816
861	54664	8751
862	54727	8687
863	54790	8624
864	54855	8561
865	54913	8496
866	54970	8432
867	55032	8368
868	55088	8304
869	55152	8241
870	55217	8177
871	55279	8114
872	55338	8050
873	55408	7987
874	55462	7923
875	55517	7858
876	55577	7794
877	55632	7730
878	55682	7665
879	55734	7600
880	55798	7536
881	55861	7473
882	55919	7409
883	55977	7345
884	56049	7283
885	56115	7220
886	56177	7156
887	56236	7092
888	56294	7028
889	56357	6965
890	56416	6901
891	56474	6837
892	56532	6773
893	56585	6709
894	56644	6645
895	56712	6582
896	56766	6518
897	56826	6454
898	56898	6392
899	56958	6328
900	57020	6265
901	57078	6201
902	57149	6139
903	57217	6076
904	57278	6012
905	57333	5948
906	57402	5885
907	57462	5822
908	57523	5758
909	57592	5695
910	57653	5632
911	57720	5569
912	57783	5506
913	57846	5442
914	57904	5379
915	57978	5316
916	58046	5253
917	58106	5190
918	58169	5126
919	58227	5063
920	58283	4999
921	58340	4935
922	58400	4871
923	58465	4808
924	58527	4745
925	58581	4681
926	58648	4618
927	58705	4554
928	58765	4491
929	58829	4427
930	58895	4364
931	58948	4300
932	59011	4237
933	59068	4174
934	59133	4110
935	59192	4047
936	59254	3984
937	59311	3920
938	59366	3856
939	59421	3792
940	59485	3729
941	59548	3666
942	59614	3603
943	59674	3540
944	59736	3476
945	59790	3412
946	59858	3350
947	59923	3286
948	59977	3223
949	60028	3159
950	60098	3096
951	60152	3032
952	60214	2969
953	60277	2906
954	60341	2843
955	60394	2779
956	60452	2716
957	60521	2653
958	60588	2590
959	60647	2526
960	60719	2464
961	60777	2400
962	60846	2337
963	60907	2274
964	60962	2211
965	61038	2148
966	61102	2085
967	61158	2021
968	61215	1958
969	61278	1895
970	61337	1831
971	61392	1768
972	61461	1705
973	61533	1642
974	61601	1579
975	61665	1516
976	61721	1453
977	61775	1389
978	61832	1326
979	61896	1263
980	61961	1200
981	62031	1137
982	62095	1073
983	62151	1010
984	62224	947
985	62280	884
986	62346	821
987	62404	757
988	62479	694
989	62540	631
990	62592	568
991	62655	505
992	62714	442
993	62772	378
994	62838	315
995	62899	252
996	62956	189
997	63012	126
998	63072	63
999	63120	0
